CPU Time (Before collecting metrics) 300013
Depth :1 Time :22053
Depth :2 Time :304
Depth :2 Time :419
Depth :2 Time :259
Depth :2 Time :222
Depth :2 Time :199
Depth :2 Time :308
Depth :2 Time :271
Depth :2 Time :485
Depth :2 Time :416
Depth :2 Time :294
Depth :2 Time :412
Depth :2 Time :560
Depth :2 Time :290
Depth :2 Time :233
Depth :2 Time :397
Depth :2 Time :301
Depth :2 Time :288
Depth :2 Time :342
Depth :2 Time :347
Depth :2 Time :238
Depth :2 Time :304
Depth :2 Time :289
Depth :2 Time :300
Depth :2 Time :327
Depth :2 Time :489
Depth :2 Time :244
Depth :2 Time :380
Depth :2 Time :453
Depth :2 Time :444
Depth :2 Time :301
Depth :2 Time :554
Depth :2 Time :383
Depth :2 Time :459
Depth :2 Time :755
Depth :2 Time :701
Depth :2 Time :550
Depth :2 Time :358
Depth :2 Time :529
Depth :2 Time :493
Depth :2 Time :353
Depth :2 Time :349
Depth :2 Time :383
Depth :2 Time :525
Depth :2 Time :483
Depth :2 Time :514
Depth :2 Time :550
Depth :2 Time :772
Depth :2 Time :561
Depth :2 Time :401
Depth :2 Time :689
Depth :2 Time :623
Depth :2 Time :1009
Depth :2 Time :397
Depth :2 Time :493
Depth :2 Time :790
Depth :2 Time :528
Depth :2 Time :723
Depth :2 Time :527
Depth :2 Time :1085
Depth :2 Time :546
Depth :2 Time :796
Depth :2 Time :571
Depth :2 Time :389
Depth :2 Time :493
Depth :2 Time :897
Depth :2 Time :670
Depth :2 Time :993
Depth :2 Time :1140
Depth :2 Time :1360
Depth :2 Time :974
Depth :2 Time :887
Depth :2 Time :521
Depth :2 Time :692
Depth :2 Time :711
Depth :2 Time :875
Depth :2 Time :784
Depth :2 Time :1109
Depth :2 Time :820
Depth :2 Time :1069
Depth :2 Time :1213
Depth :2 Time :1335
Depth :2 Time :632
Depth :2 Time :850
Depth :2 Time :662
Depth :2 Time :948
Depth :2 Time :917
Depth :2 Time :936
Depth :2 Time :1196
Depth :2 Time :886
Depth :2 Time :673
Depth :2 Time :1139
Depth :2 Time :1244
Depth :2 Time :1067
Depth :2 Time :818
Depth :2 Time :1025
Depth :2 Time :722
Depth :2 Time :1252
Depth :2 Time :1008
Depth :2 Time :1325
Depth :2 Time :1610
Depth :2 Time :898
Depth :2 Time :1451
Depth :2 Time :1248
Depth :2 Time :1107
Depth :2 Time :1425
Depth :2 Time :1405
Depth :2 Time :1029
Depth :2 Time :886
Depth :2 Time :1357
Depth :2 Time :1282
Depth :2 Time :1469
Depth :2 Time :1531
Depth :2 Time :1046
Depth :2 Time :1868
Depth :2 Time :2153
Depth :2 Time :1199
Depth :2 Time :860
Depth :2 Time :2069
Depth :2 Time :1523
Depth :2 Time :1128
Depth :2 Time :1702
Depth :2 Time :1686
Depth :2 Time :1928
Depth :2 Time :2791
Depth :2 Time :2067
Depth :2 Time :1642
Depth :2 Time :1652
Depth :2 Time :3002
Depth :2 Time :1359
Depth :2 Time :2545
Depth :2 Time :1515
Depth :2 Time :2656
Depth :2 Time :2044
Depth :2 Time :2078
Depth :2 Time :1749
Depth :2 Time :3112
Depth :2 Time :3071
Depth :2 Time :1972
Depth :2 Time :2218
Depth :2 Time :1975
Depth :2 Time :2568
Depth :2 Time :3047
Depth :2 Time :2729
Depth :2 Time :2317
Depth :2 Time :2081
Depth :2 Time :1556
Depth :2 Time :1568
Depth :2 Time :1452
Depth :2 Time :2796
Depth :2 Time :3723
Depth :2 Time :1889
Depth :2 Time :2054
Depth :2 Time :2482
Depth :2 Time :3435
Depth :2 Time :2224
Depth :2 Time :3373
Depth :2 Time :1820
Depth :2 Time :3030
Depth :2 Time :2071
Depth :2 Time :3565
Depth :2 Time :2739
Depth :2 Time :2640
Depth :2 Time :3386
Depth :2 Time :2317
Depth :2 Time :2675
Depth :2 Time :2643
Depth :2 Time :3041
Depth :2 Time :2589
Depth :2 Time :3199
Depth :2 Time :2324
Depth :2 Time :2446
Depth :2 Time :2600
Depth :2 Time :2731
Depth :2 Time :4128
Depth :2 Time :2781
Depth :2 Time :2499
Depth :2 Time :3106
Depth :2 Time :2126
Depth :2 Time :3733
Depth :2 Time :2397
Depth :2 Time :3525
Depth :2 Time :4509
Depth :2 Time :3452
Depth :2 Time :4928
Depth :2 Time :2914
Depth :2 Time :2896
Depth :2 Time :3535
Depth :2 Time :4172
Depth :2 Time :2780
Depth :2 Time :2865
Depth :2 Time :3398
Depth :2 Time :3530
Depth :2 Time :6087
Depth :2 Time :4804
Depth :2 Time :5052
Depth :2 Time :3158
Depth :2 Time :5080
Depth :2 Time :3863
Depth :2 Time :4550
Depth :2 Time :3406
Depth :2 Time :5260
Depth :2 Time :4848
Depth :2 Time :4663
Depth :2 Time :4791
Depth :2 Time :5285
Depth :2 Time :4476
Depth :2 Time :6236
Depth :2 Time :4457
Depth :2 Time :4784
Depth :2 Time :4411
Depth :2 Time :5698
Depth :2 Time :6075
Depth :2 Time :1966
Depth :2 Time :4563
Depth :2 Time :4330
Depth :2 Time :4838
Depth :2 Time :3620
Depth :2 Time :6001
Depth :2 Time :4319
Depth :2 Time :6059
Depth :2 Time :4024
Depth :2 Time :7213
Depth :2 Time :4154
Depth :2 Time :5954
Depth :2 Time :6986
Depth :2 Time :6388
Depth :2 Time :7798
Depth :2 Time :7456
Depth :2 Time :6533
Depth :2 Time :5054
Depth :2 Time :4503
Depth :2 Time :7252
Depth :2 Time :7226
Depth :2 Time :8830
Depth :2 Time :6633
Depth :2 Time :10720
Depth :2 Time :6059
Depth :2 Time :4218
Depth :2 Time :6640
Depth :2 Time :8242
Depth :2 Time :7314
Depth :2 Time :5128
Depth :2 Time :7449
Depth :2 Time :6788
Depth :2 Time :9138
Depth :2 Time :8980
Depth :2 Time :10291
Depth :2 Time :8599
Depth :2 Time :5731
Depth :2 Time :5832
Depth :2 Time :8895
Depth :2 Time :4958
Depth :2 Time :6090
Depth :2 Time :7062
Depth :2 Time :6990
Depth :2 Time :8732
Depth :2 Time :8141
Depth :2 Time :6423
Depth :2 Time :7622
Depth :2 Time :7115
Depth :2 Time :6700
Depth :2 Time :8486
Depth :2 Time :9115
Depth :2 Time :10052
Depth :2 Time :7878
Depth :2 Time :7325
Depth :2 Time :9413
Depth :2 Time :9361
Depth :2 Time :8362
Depth :2 Time :9114
Depth :2 Time :8760
Depth :2 Time :8132
Depth :2 Time :8756
Depth :2 Time :8668
Depth :2 Time :10659
Depth :2 Time :8698
Depth :2 Time :8539
Depth :2 Time :11127
Depth :2 Time :9097
Depth :2 Time :10159
Depth :2 Time :9409
Depth :2 Time :10752
Depth :2 Time :9748
Depth :2 Time :6985
Depth :2 Time :8729
Depth :2 Time :10070
Depth :2 Time :10008
Depth :2 Time :12966
Depth :2 Time :7711
Depth :2 Time :8971
Depth :2 Time :7577
Depth :2 Time :13747
Depth :2 Time :11536
Depth :2 Time :11308
Depth :2 Time :11764
Depth :2 Time :7923
Depth :2 Time :11382
Depth :2 Time :9879
Depth :2 Time :8658
Depth :2 Time :10952
Depth :2 Time :11458
Depth :2 Time :12258
Depth :2 Time :12950
Depth :2 Time :11182
Depth :2 Time :10555
Depth :2 Time :9554
Depth :2 Time :11302
Depth :2 Time :11058
Depth :2 Time :11817
Depth :2 Time :12320
Depth :2 Time :13634
Depth :2 Time :11521
Depth :2 Time :11841
Depth :2 Time :13694
Depth :2 Time :10282
Depth :2 Time :12236
Depth :2 Time :11984
Depth :2 Time :13446
Depth :2 Time :13544
Depth :2 Time :12683
Depth :2 Time :11719
Depth :2 Time :12525
Depth :2 Time :13066
Depth :2 Time :9633
Depth :2 Time :14043
Depth :2 Time :13804
Depth :2 Time :12026
Depth :2 Time :11505
Depth :2 Time :10842
Depth :2 Time :25752
Depth :2 Time :25779
Depth :2 Time :25432
Depth :2 Time :25242
Depth :2 Time :25024
Depth :2 Time :24676
Depth :2 Time :24837
Depth :2 Time :24999
Depth :2 Time :24596
Depth :2 Time :24866
Depth :2 Time :24956
Depth :2 Time :24827
Depth :2 Time :24761
Depth :2 Time :24530
Depth :2 Time :24432
Depth :3 Time :90
Depth :3 Time :86
Depth :3 Time :86
Depth :3 Time :84
Depth :3 Time :81
Depth :3 Time :89
Depth :3 Time :106
Depth :3 Time :81
Depth :3 Time :66
Depth :3 Time :85
Depth :3 Time :212
Depth :3 Time :137
Depth :3 Time :72
Depth :3 Time :68
Depth :3 Time :71
Depth :3 Time :133
Depth :3 Time :69
Depth :3 Time :93
Depth :3 Time :94
Depth :3 Time :92
Depth :3 Time :68
Depth :3 Time :52
Depth :3 Time :74
Depth :3 Time :168
Depth :3 Time :44
Depth :3 Time :71
Depth :3 Time :59
Depth :3 Time :120
Depth :3 Time :65
Depth :3 Time :138
Depth :3 Time :85
Depth :3 Time :77
Depth :3 Time :72
Depth :3 Time :86
Depth :3 Time :93
Depth :3 Time :91
Depth :3 Time :82
Depth :3 Time :74
Depth :3 Time :72
Depth :3 Time :90
Depth :3 Time :207
Depth :3 Time :82
Depth :3 Time :89
Depth :3 Time :74
Depth :3 Time :80
Depth :3 Time :167
Depth :3 Time :165
Depth :3 Time :85
Depth :3 Time :92
Depth :3 Time :75
Depth :3 Time :88
Depth :3 Time :284
Depth :3 Time :98
Depth :3 Time :69
Depth :3 Time :175
Depth :3 Time :66
Depth :3 Time :62
Depth :3 Time :96
Depth :3 Time :74
Depth :3 Time :77
Depth :3 Time :63
Depth :3 Time :68
Depth :3 Time :70
Depth :3 Time :58
Depth :3 Time :65
Depth :3 Time :134
Depth :3 Time :55
Depth :3 Time :50
Depth :3 Time :53
Depth :3 Time :71
Depth :3 Time :70
Depth :3 Time :64
Depth :3 Time :60
Depth :3 Time :133
Depth :3 Time :143
Depth :3 Time :67
Depth :3 Time :93
Depth :3 Time :124
Depth :3 Time :72
Depth :3 Time :61
Depth :3 Time :90
Depth :3 Time :58
Depth :3 Time :93
Depth :3 Time :86
Depth :3 Time :84
Depth :3 Time :84
Depth :3 Time :87
Depth :3 Time :65
Depth :3 Time :70
Depth :3 Time :69
Depth :3 Time :91
Depth :3 Time :89
Depth :3 Time :86
Depth :3 Time :87
Depth :3 Time :75
Depth :3 Time :66
Depth :3 Time :89
Depth :3 Time :89
Depth :3 Time :78
Depth :3 Time :67
Depth :3 Time :79
Depth :3 Time :81
Depth :3 Time :76
Depth :3 Time :130
Depth :3 Time :81
Depth :3 Time :187
Depth :3 Time :125
Depth :3 Time :157
Depth :3 Time :128
Depth :3 Time :74
Depth :3 Time :78
Depth :3 Time :89
Depth :3 Time :184
Depth :3 Time :146
Depth :3 Time :67
Depth :3 Time :76
Depth :3 Time :83
Depth :3 Time :58
Depth :3 Time :92
Depth :3 Time :76
Depth :3 Time :68
Depth :3 Time :159
Depth :3 Time :87
Depth :3 Time :77
Depth :3 Time :86
Depth :3 Time :85
Depth :3 Time :71
Depth :3 Time :84
Depth :3 Time :74
Depth :3 Time :88
Depth :3 Time :65
Depth :3 Time :71
Depth :3 Time :169
Depth :3 Time :111
Depth :3 Time :55
Depth :3 Time :59
Depth :3 Time :87
Depth :3 Time :78
Depth :3 Time :68
Depth :3 Time :66
Depth :3 Time :63
Depth :3 Time :95
Depth :3 Time :233
Depth :3 Time :84
Depth :3 Time :57
Depth :3 Time :62
Depth :3 Time :88
Depth :3 Time :75
Depth :3 Time :121
Depth :3 Time :68
Depth :3 Time :68
Depth :3 Time :94
Depth :3 Time :61
Depth :3 Time :80
Depth :3 Time :68
Depth :3 Time :100
Depth :3 Time :89
Depth :3 Time :86
Depth :3 Time :88
Depth :3 Time :80
Depth :3 Time :75
Depth :3 Time :167
Depth :3 Time :66
Depth :3 Time :70
Depth :3 Time :169
Depth :3 Time :75
Depth :3 Time :214
Depth :3 Time :115
Depth :3 Time :66
Depth :3 Time :46
Depth :3 Time :80
Depth :3 Time :58
Depth :3 Time :76
Depth :3 Time :102
Depth :3 Time :64
Depth :3 Time :85
Depth :3 Time :77
Depth :3 Time :49
Depth :3 Time :69
Depth :3 Time :61
Depth :3 Time :62
Depth :3 Time :74
Depth :3 Time :83
Depth :3 Time :76
Depth :3 Time :71
Depth :3 Time :74
Depth :3 Time :208
Depth :3 Time :64
Depth :3 Time :70
Depth :3 Time :132
Depth :3 Time :59
Depth :3 Time :185
Depth :3 Time :123
Depth :3 Time :63
Depth :3 Time :104
Depth :3 Time :73
Depth :3 Time :70
Depth :3 Time :61
Depth :3 Time :107
Depth :3 Time :256
Depth :3 Time :73
Depth :3 Time :192
Depth :3 Time :72
Depth :3 Time :81
Depth :3 Time :58
Depth :3 Time :101
Depth :3 Time :66
Depth :3 Time :78
Depth :3 Time :69
Depth :3 Time :64
Depth :3 Time :64
Depth :3 Time :56
Depth :3 Time :62
Depth :3 Time :64
Depth :3 Time :74
Depth :3 Time :88
Depth :3 Time :69
Depth :3 Time :65
Depth :3 Time :91
Depth :3 Time :52
Depth :3 Time :80
Depth :3 Time :77
Depth :3 Time :87
Depth :3 Time :62
Depth :3 Time :55
Depth :3 Time :104
Depth :3 Time :75
Depth :3 Time :84
Depth :3 Time :79
Depth :3 Time :115
Depth :3 Time :73
Depth :3 Time :90
Depth :3 Time :47
Depth :3 Time :71
Depth :3 Time :98
Depth :3 Time :85
Depth :3 Time :73
Depth :3 Time :87
Depth :3 Time :94
Depth :3 Time :70
Depth :3 Time :90
Depth :3 Time :76
Depth :3 Time :64
Depth :3 Time :89
Depth :3 Time :92
Depth :3 Time :64
Depth :3 Time :67
Depth :3 Time :92
Depth :3 Time :93
Depth :3 Time :69
Depth :3 Time :83
Depth :3 Time :88
Depth :3 Time :87
Depth :3 Time :79
Depth :3 Time :86
Depth :3 Time :62
Depth :3 Time :77
Depth :3 Time :94
Depth :3 Time :95
Depth :3 Time :91
Depth :3 Time :89
Depth :3 Time :71
Depth :3 Time :73
Depth :3 Time :96
Depth :3 Time :92
Depth :3 Time :74
Depth :3 Time :93
Depth :3 Time :67
Depth :3 Time :93
Depth :3 Time :89
Depth :3 Time :67
Depth :3 Time :65
Depth :3 Time :91
Depth :3 Time :66
Depth :3 Time :91
Depth :3 Time :92
Depth :3 Time :91
Depth :3 Time :92
Depth :3 Time :70
Depth :3 Time :95
Depth :3 Time :68
Depth :3 Time :69
Depth :3 Time :94
Depth :3 Time :88
Depth :3 Time :66
Depth :3 Time :88
Depth :3 Time :94
Depth :3 Time :89
Depth :3 Time :83
Depth :3 Time :70
Depth :3 Time :82
Depth :3 Time :82
Depth :3 Time :72
Depth :3 Time :76
Depth :3 Time :86
Depth :3 Time :78
Depth :3 Time :89
Depth :3 Time :86
Depth :3 Time :88
Depth :3 Time :71
Depth :3 Time :76
Depth :3 Time :65
Depth :3 Time :68
Depth :3 Time :92
Depth :3 Time :85
Depth :3 Time :60
Depth :3 Time :63
Depth :3 Time :88
Depth :3 Time :76
Depth :3 Time :85
Depth :3 Time :68
Depth :3 Time :79
Depth :3 Time :84
Depth :3 Time :67
Depth :3 Time :64
Depth :3 Time :88
Depth :3 Time :89
Depth :3 Time :90
Depth :3 Time :93
Depth :3 Time :91
Depth :3 Time :70
Depth :3 Time :91
Depth :3 Time :87
Depth :3 Time :88
Depth :3 Time :74
Depth :3 Time :68
Depth :3 Time :67
Depth :3 Time :94
Depth :3 Time :80
Depth :3 Time :70
Depth :3 Time :85
Depth :3 Time :85
Depth :3 Time :65
Depth :3 Time :90
Depth :3 Time :88
Depth :3 Time :80
Depth :3 Time :90
Depth :3 Time :82
Depth :3 Time :88
Depth :3 Time :85
Depth :3 Time :76
Depth :3 Time :86
Depth :3 Time :79
Depth :3 Time :71
Depth :3 Time :81
Depth :3 Time :73
Depth :3 Time :84
Depth :3 Time :77
Depth :3 Time :74
Depth :3 Time :84
Depth :3 Time :76
Depth :3 Time :96
Depth :3 Time :63
Depth :3 Time :66
Depth :3 Time :65
Depth :3 Time :73
Depth :3 Time :68
Depth :3 Time :76
Depth :3 Time :86
Depth :3 Time :94
Depth :3 Time :68
Depth :3 Time :71
Depth :3 Time :88
Depth :3 Time :73
Depth :3 Time :78
Depth :3 Time :64
Depth :3 Time :88
Depth :3 Time :83
Depth :3 Time :81
Depth :3 Time :61
Depth :3 Time :51
Depth :3 Time :58
Depth :3 Time :77
Depth :3 Time :66
Depth :3 Time :56
Depth :3 Time :69
Depth :3 Time :97
Depth :3 Time :67
Depth :3 Time :86
Depth :3 Time :81
Depth :3 Time :71
Depth :3 Time :64
Depth :3 Time :79
Depth :3 Time :61
Depth :3 Time :69
Depth :3 Time :87
Depth :3 Time :74
Depth :3 Time :58
Depth :3 Time :81
Depth :3 Time :56
Depth :3 Time :83
Depth :3 Time :116
Depth :3 Time :83
Depth :3 Time :113
Depth :3 Time :66
Depth :3 Time :69
Depth :3 Time :76
Depth :3 Time :79
Depth :3 Time :91
Depth :3 Time :108
Depth :3 Time :86
Depth :3 Time :74
Depth :3 Time :81
Depth :3 Time :65
Depth :3 Time :61
Depth :3 Time :71
Depth :3 Time :96
Depth :3 Time :116
Depth :3 Time :93
Depth :3 Time :66
Depth :3 Time :76
Depth :3 Time :84
Depth :3 Time :136
Depth :3 Time :86
Depth :3 Time :144
Depth :3 Time :89
Depth :3 Time :73
Depth :3 Time :71
Depth :3 Time :68
Depth :3 Time :101
Depth :3 Time :154
Depth :3 Time :119
Depth :3 Time :117
Depth :3 Time :128
Depth :3 Time :115
Depth :3 Time :194
Depth :3 Time :78
Depth :3 Time :106
Depth :3 Time :117
Depth :3 Time :176
Depth :3 Time :148
Depth :3 Time :147
Depth :3 Time :239
Depth :3 Time :176
Depth :3 Time :154
Depth :3 Time :182
Depth :3 Time :98
Depth :3 Time :132
Depth :3 Time :106
Depth :3 Time :128
Depth :3 Time :130
Depth :3 Time :162
Depth :3 Time :143
Depth :3 Time :145
Depth :3 Time :221
Depth :3 Time :121
