Using pattern file: test/newSIPbenchmarks/si/si2_rand_r01_600/si2_r01_m600.06/pattern
Depth 5 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:1
Depth 2 Bucket 0:6
Depth 2 Bucket 0:7
Depth 2 Bucket 0:1
Depth 3 Bucket 0:7
Depth 3 Bucket 0:1
Depth 3 Bucket 1:4
Depth 2 Bucket 0:2
Depth 3 Bucket 0:3
Depth 4 Bucket 0:2
Depth 3 Bucket 0:7
Depth 3 Bucket 0:4
Depth 4 Bucket 0:1
Depth 4 Bucket 1:3
Depth 4 Bucket 2:1
Depth 5 Bucket 0:1
Depth 2 Bucket 0:3
Depth 3 Bucket 0:3
Depth 3 Bucket 1:4
Depth 4 Bucket 0:1
Depth 4 Bucket 1:2
Depth 5 Bucket 0:1
Depth 2 Bucket 0:1
Depth 3 Bucket 0:66
Depth 3 Bucket 1:7
Depth 4 Bucket 0:3
Depth 4 Bucket 1:42
Depth 4 Bucket 2:2
Depth 5 Bucket 0:8
Depth 5 Bucket 1:1
Depth 6 Bucket 0:2
Depth 2 Bucket 0:2
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 3 Bucket 2:7
Depth 3 Bucket 3:4
Depth 2 Bucket 0:1
Depth 3 Bucket 0:7
Depth 2 Bucket 0:6
Depth 4 Bucket 0:1
Depth 2 Bucket 0:3
Depth 2 Bucket 1:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 3 Bucket 2:8
Depth 4 Bucket 0:2
Depth 5 Bucket 0:3
Depth 6 Bucket 0:1
Depth 6 Bucket 1:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:4
Depth 3 Bucket 0:1
Depth 4 Bucket 0:2
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 2 Bucket 0:4
Depth 3 Bucket 0:2
Depth 4 Bucket 0:1
Depth 2 Bucket 0:7
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:2
Depth 2 Bucket 2:1
Depth 3 Bucket 0:81
Depth 3 Bucket 1:19
Depth 4 Bucket 0:2
Depth 4 Bucket 1:34
Depth 4 Bucket 2:2
Depth 5 Bucket 0:2
Depth 5 Bucket 1:1
Depth 6 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:3
Depth 3 Bucket 0:3
Depth 4 Bucket 0:2
Depth 4 Bucket 1:2
Depth 2 Bucket 0:1
Depth 3 Bucket 0:7
Depth 2 Bucket 0:2
Depth 2 Bucket 1:3
Depth 3 Bucket 0:1
Depth 3 Bucket 1:6
Depth 4 Bucket 0:1
Depth 4 Bucket 1:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:3
Depth 3 Bucket 0:7
Depth 3 Bucket 1:3
Depth 4 Bucket 0:8
Depth 4 Bucket 1:1
Depth 5 Bucket 0:2
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:7
Depth 3 Bucket 1:5
Depth 4 Bucket 0:1
Depth 6 Bucket 0:1
Depth 2 Bucket 0:1
Depth 3 Bucket 0:5
Depth 4 Bucket 0:2
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 3 Bucket 2:6
Depth 4 Bucket 0:1
Depth 4 Bucket 1:2
Depth 4 Bucket 2:1
Depth 3 Bucket 0:9
Depth 4 Bucket 0:1
Depth 2 Bucket 0:5
Depth 3 Bucket 0:24
Depth 3 Bucket 1:3
Depth 4 Bucket 0:1
Depth 4 Bucket 1:8
Depth 4 Bucket 2:1
Depth 5 Bucket 0:2
Depth 2 Bucket 0:3
Depth 3 Bucket 0:4
Depth 7 Bucket 0:1
Depth 3 Bucket 0:5
Depth 4 Bucket 0:1
Depth 4 Bucket 1:1
Depth 2 Bucket 0:2
Depth 3 Bucket 0:1
Depth 3 Bucket 1:6
Depth 3 Bucket 2:3
Depth 4 Bucket 0:1
Depth 5 Bucket 0:1
Depth 2 Bucket 0:3
Depth 2 Bucket 1:1
Depth 4 Bucket 0:1
Depth 5 Bucket 0:6
Depth 2 Bucket 0:7
Depth 2 Bucket 0:1
Depth 3 Bucket 0:7
Depth 2 Bucket 0:7
Depth 2 Bucket 0:1
Depth 2 Bucket 1:2
Depth 3 Bucket 0:10
Depth 3 Bucket 1:5
Depth 4 Bucket 0:7
Depth 4 Bucket 1:1
Depth 5 Bucket 0:3
Depth 6 Bucket 0:1
Depth 7 Bucket 0:1
Depth 3 Bucket 0:6
Depth 4 Bucket 0:1
Depth 2 Bucket 0:3
Depth 3 Bucket 0:4
Depth 2 Bucket 0:7
Depth 2 Bucket 0:3
Depth 3 Bucket 0:3
Depth 4 Bucket 0:3
Depth 6 Bucket 0:1
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 4 Bucket 0:1
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:5
Depth 3 Bucket 0:2
Depth 3 Bucket 1:3
Depth 2 Bucket 0:3
Depth 3 Bucket 0:5
Depth 3 Bucket 1:4
Depth 3 Bucket 0:27
Depth 3 Bucket 1:10
Depth 4 Bucket 0:12
Depth 5 Bucket 0:2
Depth 2 Bucket 0:4
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 4 Bucket 0:2
Depth 2 Bucket 0:7
Depth 2 Bucket 0:2
Depth 3 Bucket 0:1
Depth 4 Bucket 0:4
Depth 5 Bucket 0:1
Depth 2 Bucket 0:2
Depth 2 Bucket 1:5
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 2 Bucket 0:5
Depth 3 Bucket 0:1
Depth 4 Bucket 0:2
Depth 2 Bucket 0:4
Depth 3 Bucket 0:1
Depth 5 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:5
Depth 3 Bucket 0:4
Depth 3 Bucket 1:1
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:4
Depth 5 Bucket 0:1
Depth 3 Bucket 0:57
Depth 3 Bucket 1:19
Depth 4 Bucket 0:11
Depth 4 Bucket 1:1
Depth 6 Bucket 0:2
Depth 2 Bucket 0:7
Depth 3 Bucket 0:2
Depth 4 Bucket 0:4
Depth 2 Bucket 0:1
Depth 3 Bucket 0:2
Depth 4 Bucket 0:4
Depth 5 Bucket 0:1
Depth 2 Bucket 0:3
Depth 2 Bucket 1:4
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 3 Bucket 2:7
Depth 3 Bucket 3:3
Depth 3 Bucket 4:1
Depth 3 Bucket 5:9
Depth 5 Bucket 0:1
Depth 6 Bucket 0:1
Depth 2 Bucket 0:7
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:4
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:5
Depth 3 Bucket 0:1
Depth 3 Bucket 1:3
Depth 3 Bucket 2:1
Depth 2 Bucket 0:7
Depth 2 Bucket 0:4
Depth 3 Bucket 0:1
Depth 4 Bucket 0:1
Depth 4 Bucket 1:1
Depth 4 Bucket 2:1
Depth 4 Bucket 3:2
Depth 5 Bucket 0:1
Depth 5 Bucket 1:2
Depth 6 Bucket 0:1
Depth 6 Bucket 1:1
Depth 6 Bucket 2:1
Depth 2 Bucket 0:2
Depth 2 Bucket 1:5
Depth 3 Bucket 0:1
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:4
Depth 3 Bucket 0:3
Depth 3 Bucket 1:3
Depth 3 Bucket 0:1
Depth 4 Bucket 0:6
Depth 5 Bucket 0:1
Depth 2 Bucket 0:7
Depth 3 Bucket 0:1
Depth 4 Bucket 0:2
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 3 Bucket 2:4
Depth 3 Bucket 3:3
Depth 3 Bucket 4:3
Depth 4 Bucket 0:1
Depth 4 Bucket 1:2
Depth 3 Bucket 0:4
Depth 4 Bucket 0:2
Depth 2 Bucket 0:7
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 4 Bucket 0:1
Depth 4 Bucket 1:1
Depth 6 Bucket 0:1
Depth 2 Bucket 0:3
Depth 3 Bucket 0:1
Depth 3 Bucket 1:4
Depth 4 Bucket 0:2
Depth 6 Bucket 0:1
Depth 3 Bucket 0:2
Depth 3 Bucket 1:6
Depth 4 Bucket 0:1
Depth 4 Bucket 1:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:1
Depth 2 Bucket 2:2
Depth 2 Bucket 3:3
Depth 3 Bucket 0:46
Depth 3 Bucket 1:13
Depth 4 Bucket 0:31
Depth 5 Bucket 0:7
Depth 5 Bucket 1:1
Depth 6 Bucket 0:1
Depth 8 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:1
Depth 3 Bucket 0:3
Depth 3 Bucket 1:7
Depth 4 Bucket 0:1
Depth 2 Bucket 0:2
Depth 2 Bucket 1:5
Depth 3 Bucket 0:43
Depth 3 Bucket 1:5
Depth 4 Bucket 0:20
Depth 5 Bucket 0:2
Depth 6 Bucket 0:2
Depth 2 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 3 Bucket 2:2
Depth 3 Bucket 3:5
Depth 3 Bucket 4:4
Depth 4 Bucket 0:3
Depth 6 Bucket 0:1
Depth 7 Bucket 0:1
Depth 2 Bucket 0:7
Depth 3 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:9
Depth 3 Bucket 2:1
Depth 4 Bucket 0:2
Depth 4 Bucket 1:2
Depth 2 Bucket 0:7
Depth 6 Bucket 0:1
Depth 3 Bucket 0:7
Depth 3 Bucket 0:6
Depth 4 Bucket 0:4
Depth 2 Bucket 0:1
Depth 2 Bucket 1:5
Depth 2 Bucket 2:2
Depth 3 Bucket 0:11
Depth 3 Bucket 1:10
Depth 4 Bucket 0:11
Depth 5 Bucket 0:1
Depth 6 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:8
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:2
Depth 2 Bucket 0:1
Depth 2 Bucket 1:2
Depth 2 Bucket 2:2
Depth 3 Bucket 0:26
Depth 3 Bucket 1:5
Depth 4 Bucket 0:2
Depth 4 Bucket 1:5
Depth 5 Bucket 0:2
Depth 6 Bucket 0:1
Depth 2 Bucket 0:3
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 3 Bucket 2:1
Depth 4 Bucket 0:2
Depth 2 Bucket 0:7
Depth 2 Bucket 0:5
Depth 3 Bucket 0:2
Depth 4 Bucket 0:1
Depth 2 Bucket 0:7
Depth 8 Bucket 0:1
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 3 Bucket 0:2
Depth 4 Bucket 0:2
Depth 4 Bucket 1:3
Depth 2 Bucket 0:1
Depth 2 Bucket 1:2
Depth 3 Bucket 0:51
Depth 3 Bucket 1:11
Depth 4 Bucket 0:1
Depth 4 Bucket 1:13
Depth 4 Bucket 2:1
Depth 5 Bucket 0:3
Depth 2 Bucket 0:2
Depth 2 Bucket 1:4
Depth 2 Bucket 2:1
Depth 3 Bucket 0:18
Depth 3 Bucket 1:6
Depth 4 Bucket 0:1
Depth 4 Bucket 1:17
Depth 5 Bucket 0:7
Depth 6 Bucket 0:2
Depth 7 Bucket 0:1
Depth 2 Bucket 0:7
Depth 3 Bucket 0:1
Depth 4 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:2
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:4
Depth 4 Bucket 0:2
Depth 2 Bucket 0:3
Depth 3 Bucket 0:4
Depth 4 Bucket 0:1
Depth 5 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:1
Depth 3 Bucket 0:6
Depth 4 Bucket 0:1
Depth 2 Bucket 0:2
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 4 Bucket 0:1
Depth 2 Bucket 0:7
Depth 3 Bucket 0:2
Depth 4 Bucket 0:1
Depth 5 Bucket 0:1
Depth 2 Bucket 0:6
Depth 3 Bucket 0:1
Depth 2 Bucket 0:4
Depth 3 Bucket 0:3
Depth 3 Bucket 1:4
Depth 8 Bucket 0:1
Depth 3 Bucket 0:10
Depth 2 Bucket 0:3
Depth 2 Bucket 1:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 3 Bucket 2:1
Depth 3 Bucket 3:3
Depth 4 Bucket 0:1
Depth 4 Bucket 1:3
Depth 5 Bucket 0:1
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 3 Bucket 2:1
Depth 3 Bucket 3:1
Depth 4 Bucket 0:2
Depth 4 Bucket 1:4
Depth 2 Bucket 0:3
Depth 3 Bucket 0:6
Depth 4 Bucket 0:1
Depth 2 Bucket 0:1
Depth 2 Bucket 1:6
Depth 3 Bucket 0:1
Depth 3 Bucket 1:1
Depth 4 Bucket 0:1
Depth 2 Bucket 0:7

Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0
Metric Prunes Depth 0:0

Metric Nodes Depth 0:0
Metric Nodes Depth 1:100004
Metric Nodes Depth 2:237116
Metric Nodes Depth 3:2219
Metric Nodes Depth 4:34
Metric Nodes Depth 5:2
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:47335
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:1609
Metric Nodes Depth 4:33
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:267668
Metric Nodes Depth 3:265
Metric Nodes Depth 4:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:194588
Metric Nodes Depth 3:1536
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:282
Metric Nodes Depth 4:16
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:39521
Metric Nodes Depth 4:971
Metric Nodes Depth 5:87
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:2589
Metric Nodes Depth 4:162
Metric Nodes Depth 5:0
Metric Nodes Depth 6:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:198801
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:35469
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:345784
Metric Nodes Depth 3:2124
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:4654
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:358349
Metric Nodes Depth 3:557
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:197821
Metric Nodes Depth 3:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:307872
Metric Nodes Depth 3:997
Metric Nodes Depth 4:19
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:49990
Metric Nodes Depth 3:1398
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:77084
Metric Nodes Depth 3:2968
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:142126
Metric Nodes Depth 3:0
Metric Nodes Depth 4:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:1761
Metric Nodes Depth 4:2
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:0
Metric Nodes Depth 3:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:277477
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:255162
Metric Nodes Depth 3:1115
Metric Nodes Depth 4:20
Metric Nodes Depth 5:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:572170
Metric Nodes Depth 3:33098
Metric Nodes Depth 4:586
Metric Nodes Depth 5:37
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:509762
Metric Nodes Depth 3:1084
Metric Nodes Depth 4:106
Metric Nodes Depth 5:19
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:195285
Metric Nodes Depth 3:609
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:427883
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:156967
Metric Nodes Depth 3:0
Metric Nodes Depth 4:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:34772
Metric Nodes Depth 3:2401
Metric Nodes Depth 4:32
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:328422
Metric Nodes Depth 3:12596
Metric Nodes Depth 4:37
Metric Nodes Depth 5:0
Metric Nodes Depth 6:9
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:188282
Metric Nodes Depth 3:4034
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:107187
Metric Nodes Depth 3:48523
Metric Nodes Depth 4:329
Metric Nodes Depth 5:32
Metric Nodes Depth 6:0
Metric Nodes Depth 7:2
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:190656
Metric Nodes Depth 3:2721
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:135181
Metric Nodes Depth 3:2770
Metric Nodes Depth 4:162
Metric Nodes Depth 5:0
Metric Nodes Depth 6:7
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:206280
Metric Nodes Depth 3:758
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:286754
Metric Nodes Depth 3:234
Metric Nodes Depth 4:0
Metric Nodes Depth 5:0
Metric Nodes Depth 6:0
Metric Nodes Depth 7:0
Metric Nodes Depth 0:0
Metric Nodes Depth 1:0
Metric Nodes Depth 2:83402
